問い合わせ番号,発注機関,発注地域,件名,業種（種別・工種）,入札種別,入札予定時期（～から）,入札予定時期（～まで）,予定価格（下限）,予定価格（上限）,リンク
"Y2898410","海上自衛隊/阪神基地隊","東京都","「HokkaidoInnovationWeek」に係る旅行手配","役務の提供等","競争・公募",="2023/12",="2023/12","","","https://www.nyusatsu-king.com/usermenu/yotei_detail_csv/?csv_key=MjAyM1kyODk4NDEw"
"Y2898405","海上自衛隊/阪神基地隊","東京都","「FOODEXJAPAN2024」ジェトロ・ゾーン輸入通関","役務の提供等","競争・公募",="2023/12",="2023/12","","","https://www.nyusatsu-king.com/usermenu/yotei_detail_csv/?csv_key=MjAyM1kyODk4NDA1"
"Y2898396","海上自衛隊/阪神基地隊","東京都","BtoBマッチングシステムの開発・運用・保守","役務の提供等","競争・公募",="2023/12",="2023/12","","","https://www.nyusatsu-king.com/usermenu/yotei_detail_csv/?csv_key=MjAyM1kyODk4Mzk2"
"Y2895378","千葉地方裁判所/千葉家庭裁判所/千葉県内の簡易裁判所","東京都","大館能代空港仮設LOC設置工事","電気通信工事","競争・公募",="2023/12",="2023/12","","","https://www.nyusatsu-king.com/usermenu/yotei_detail_csv/?csv_key=MjAyM1kyODk1Mzc4"
"Y2895345","千葉地方裁判所/千葉家庭裁判所/千葉県内の簡易裁判所","北海道","TEC-FORCE活動支援用資機材購入","物品の販売、物品の製造","競争・公募",="2023/12",="2023/12","","","https://www.nyusatsu-king.com/usermenu/yotei_detail_csv/?csv_key=MjAyM1kyODk1MzQ1"
