問い合わせ番号,発注機関,発注地域,件名,カテゴリ,入札種別,資格ランク,案件登録日,入札日,開札日,落札会社名,落札価格,予定価格,応札企業,リンク
"N17765743","海上保安庁/第五管区海上保安本部","兵庫県","２０ｍ型巡視艇中検修理（２０２３ - Ｎｏ．２２）","各種車両・船舶・航空機","競争・公募","C","2023-12-25","2024-01-18",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NTc0Mw=="
"N17764824","群馬県","群馬県","【公募】tsukurun -GUNMA CREATIVE FACTORY- 企画・運営業務に係るプロポーザルの実施について","デザイン・印刷・広告,その他の業務委託","競争・公募","","2023-12-25","2024-02-02",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDgyNA=="
"N17764760","国立大学法人/九州工業大学","福岡県","公告）コワーキングスペース『GYM LABO』運営業務委託　一式.pdf　(71.26 KB)","その他の業務委託","競争・公募","A,B,C,D","2023-12-25","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDc2MA=="
"N17764673","国立大学法人/総合研究大学院大学","神奈川県","JSTOR 電子ジャーナルアーカイブコレクション年間アクセス料 一式","情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-25","2024-01-17",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDY3Mw=="
"N17764658","国立大学法人/大阪大学","大阪府","AKTA pure 25 T1 ｼｽﾃﾑ　英国Global Life Sciences Solutions Operations社製　1式","理化学機械器具類","競争・公募","","2023-12-25","2024-01-09",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDY1OA=="
"N17764442","静岡県","静岡県","令和５年度［第34-B0015-01号］二級河川巴川ほか河川維持管理静岡県土木総合防災 情報システム(SIPOS}基本設計業務委託","設計・測量","指名","","2023-12-25","2024-01-09",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDQ0Mg=="
"N17764415","その他","全国","【米軍案件】Non-Tactical Vehicle Purchase: Sedans and Vans","米軍案件","競争・公募","","2023-12-25","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDQxNQ=="
"N17764414","その他","全国","【米軍案件】Household Appliances Washer/Dryer and Connection Stand","米軍案件","競争・公募","","2023-12-25","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDQxNA=="
"N17764413","その他","全国","【米軍案件】MOBILE DIESEL ENGINE WELDING MACHINE","米軍案件","競争・公募","","2023-12-25","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDQxMw=="
"N17764410","その他","全国","【米軍案件】UNLOAD DRIVE ASSEMB","米軍案件","競争・公募","","2023-12-25","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDQxMA=="
"N17764409","その他","全国","【米軍案件】MOTOR,ALTERNATING C","米軍案件","競争・公募","","2023-12-25","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDQwOQ=="
"N17764408","その他","全国","【米軍案件】CONDITIONER POWER L","米軍案件","競争・公募","","2023-12-25","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2NDQwOA=="
