問い合わせ番号,発注機関,発注地域,件名,カテゴリ,入札種別,資格ランク,案件登録日,入札日,開札日,落札会社名,落札価格,予定価格,応札企業,リンク
"R22996399","和歌山県","和歌山県","１２－１　ドローン・ＯＡ・電気関係　電子ミシン　ウチダ　電子ミシン　８－２７１－２０１３　Ｓ７５５　別紙仕様書参照　3台",,,,,,"2023-12-13","有限会社久司商店","147000","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM5OQ=="
"R22996398","和歌山県","和歌山県","１２－１　ドローン・ＯＡ・電気関係　グロースタータ　三菱　グロースタータ　FG-1E　　５０個入り　1箱",,,,,,"2023-12-13","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM5OA=="
"R22996397","和歌山県","和歌山県","１２－１　ドローン・ＯＡ・電気関係　microSDカード　別添参照　microSDカード128GB　2個",,,,,,"2023-12-13","株式会社佐野萬","3960","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM5Nw=="
"R22996396","和歌山県","和歌山県","１２－１　ドローン・ＯＡ・電気関係　ドローン　別添参照　DJI Mavic 3 Pro Fly More コンボ　賠償責任保険なし　1台",,,,,,"2023-12-13","株式会社ＭｉＬＬ","296600","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM5Ng=="
"R22994790","その他大阪府市町村/大阪広域水道企業団","大阪府","水質管理センター 文具・OA機器類49点の購入【大阪広域水道企業団】",,,,,,"2023-12-13","非公表","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NDc5MA=="
"R22992942","その他広島県市町村/呉市","広島県","OAラベル　A4版　１００シート（１００枚）×５冊【呉市】",,,,,,"2023-12-13","有限会社タケダ","5063","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5Mjk0Mg=="
"R22988685","熊本市","熊本県","【12/11　ヤ-2】Oasis WAX カートリッジ【熊本市】",,,,,,"2023-12-13","株式会社　ネクスト","192500","","{応札企業名＝株式会社　ネクスト、応札結果・備考＝［落札］、応札金額＝192500},{応札企業名＝正晃　株式会社　熊本営業所、応札結果・備考＝、応札金額＝210000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk4ODY4NQ=="
"R22980987","栃木県市町村/宇都宮市","栃木県","【No.4】公共下水道管きょ修繕工事（止水工事）　第１号【宇都宮市】",,,,,,"2023-12-13","株式会社清水造園","6694000","7500000","{応札企業名＝株式会社清水造園、応札結果・備考＝入札書記載金額結果:落札(第1回~第3回は入札書記載金額)、応札金額＝6694000},{応札企業名＝有限会社美山建設、応札結果・備考＝入札書記載金額結果:失格(第1回~第3回は入札書記載金額)、応札金額＝3970000},{応札企業名＝久保建設有限会社、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝6694000},{応札企業名＝株式会社庭野建設、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝6694000},{応札企業名＝有限会社若林造園土木、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝6694000},{応札企業名＝宇陽環境整備工業株式会社、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝6720000},{応札企業名＝宇都宮文化センター株式会社、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝7500000},{応札企業名＝宇都宮ヤマイチ株式会社、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝7550000},{応札企業名＝有限会社睦月産業、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝8040000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk4MDk4Nw=="
"R22980986","栃木県市町村/宇都宮市","栃木県","【No.6】公共下水道管きょ修繕工事（止水工事）　第３号【宇都宮市】",,,,,,"2023-12-13","株式会社清水造園","4648000","5200000","{応札企業名＝株式会社清水造園、応札結果・備考＝入札書記載金額結果:落札(第1回~第3回は入札書記載金額)、応札金額＝4648000},{応札企業名＝有限会社美山建設、応札結果・備考＝入札書記載金額結果:失格(第1回~第3回は入札書記載金額)、応札金額＝4405000},{応札企業名＝宇都宮文化センター株式会社、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝4648000},{応札企業名＝株式会社庭野建設、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝4648000},{応札企業名＝有限会社若林造園土木、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝4648000},{応札企業名＝有限会社睦月産業、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝4970000},{応札企業名＝宇陽環境整備工業株式会社、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝5210000},{応札企業名＝宇都宮ヤマイチ株式会社、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝5230000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk4MDk4Ng=="
"R22980984","栃木県市町村/宇都宮市","栃木県","【No.415】クリーンパーク茂原リサイクルプラザ特定天井改修電気設備工事【宇都宮市】",,,,,,"2023-12-13","株式会社山晃電気","3086000","3220000","{応札企業名＝株式会社山晃電気、応札結果・備考＝入札書記載金額結果:落札(第1回~第3回は入札書記載金額)、応札金額＝3343000/3086000},{応札企業名＝有限会社ハイテック、応札結果・備考＝入札書記載金額結果:失格(第1回~第3回は入札書記載金額)、応札金額＝2820000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk4MDk4NA=="
"R22974338","広島県","広島県","令和５年度　復旧治山事業　渓間工事　Ｎｏ．１８",,,,,,"2023-12-13","有限会社武蔵サービス","35800000","35834000","{応札企業名＝有限会社武蔵サービス、応札結果・備考＝落札、応札金額＝35800000},{応札企業名＝中国ニチレキ工事株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝諏訪建設株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝橋神建設株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝有限会社花岡工務店、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社上垣組、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社新川、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社小林建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝有限会社肥後谷建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝ラーフテクト株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝沖建設株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝有限会社高橋建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝国土技建株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社織田建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝有限会社日彰建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社島村建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社高屋建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社不撓建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社日浦造園土木、応札結果・備考＝辞退、応札金額＝},{応札企業名＝双合建設工業株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社後藤組、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社山村興業、応札結果・備考＝辞退、応札金額＝},{応札企業名＝高山建設株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝有限会社福永土木、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社三輝、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社大建、応札結果・備考＝辞退、応札金額＝},{応札企業名＝有限会社中川建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝平原建設株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社照栄、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社ＳＥＩＷＡ、応札結果・備考＝辞退、応札金額＝},{応札企業名＝有限会社ショウケン、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社橋本、応札結果・備考＝辞退、応札金額＝},{応札企業名＝分田建設株式会社、応札結果・備考＝失格、応札金額＝32190000},{応札企業名＝株式会社光、応札結果・備考＝辞退、応札金額＝}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk3NDMzOA=="
"R22974187","その他新潟県市町村/燕市","新潟県","公共下水道汚水管（秋葉町寺郷屋⑥-№512）布設工事【燕市】",,,,,,"2023-12-13","株式会社丸長建設","18570000","20410000","{応札企業名＝（株）丸長建設、応札結果・備考＝入札書記載金額結果:落札(第1回~第2回は入札書記載金額)、応札金額＝18570000},{応札企業名＝（株）青山組、応札結果・備考＝入札書記載金額結果:参加(第1回~第2回は入札書記載金額)、応札金額＝18590000},{応札企業名＝（株）星野建設、応札結果・備考＝入札書記載金額結果:参加(第1回~第2回は入札書記載金額)、応札金額＝18600000},{応札企業名＝春木建設（株）、応札結果・備考＝入札書記載金額結果:参加(第1回~第2回は入札書記載金額)、応札金額＝18640000},{応札企業名＝（株）丸山組、応札結果・備考＝入札書記載金額結果:参加(第1回~第2回は入札書記載金額)、応札金額＝21190000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk3NDE4Nw=="
"R22973215","札幌市","北海道","手稲水再生プラザNo.2雨水自動除塵機修繕工事【札幌市】",,,,,,"2023-12-13","株式会社工成舎","2270000","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk3MzIxNQ=="
"R22969422","埼玉県","埼玉県","彩の国ロードサポートニュース　Ｎｏ．３２印刷業務",,,,,,"2023-12-13","株式会社三興社印刷所","459000","598750","{応札企業名＝株式会社三興社印刷所、応札結果・備考＝採用、応札金額＝459000},{応札企業名＝佐川印刷株式会社　北関東支店、応札結果・備考＝、応札金額＝943057},{応札企業名＝関東図書株式会社、応札結果・備考＝、応札金額＝575000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2OTQyMg=="
"R22968472","山口県市町村/山口市","山口県","朝田浄水場Ｎｏ．３ろ過池塗装工事【山口市】",,,,,,"2023-12-13","有限会社河野塗装店","7024000","7200000","{応札企業名＝有限会社河野塗装店、応札結果・備考＝落札、応札金額＝7024000},{応札企業名＝五十鈴工業株式会社、応札結果・備考＝不落札、応札金額＝6000000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2ODQ3Mg=="
"R22967993","茨城県市町村/常陸太田市","茨城県","０５（簡水）南部浄水場№１ろ過器整備工事【常陸太田市】",,,,,,"2023-12-13","株式会社神鋼環境ソリューション","9950000","","{応札企業名＝（株）神鋼環境ソリューション、応札結果・備考＝落札、応札金額＝9950000},{応札企業名＝昱（株）、応札結果・備考＝、応札金額＝10700000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2Nzk5Mw=="
"R22967828","福岡市","福岡県","ＰＯＣ用ＨＤＤ外４件【福岡市】",,,,,,"2023-12-13","株式会社九州日立","1815000","","{応札企業名＝（株）九州日立、応札結果・備考＝、応札金額＝1650000},{応札企業名＝（株）菅原 福岡営業所、応札結果・備考＝、応札金額＝1880000},{応札企業名＝三和冷暖房（株）、応札結果・備考＝辞退、応札金額＝},{応札企業名＝（株）九電工、応札結果・備考＝辞退、応札金額＝},{応札企業名＝空研工業（株）、応札結果・備考＝辞退、応札金額＝},{応札企業名＝昭星電業（株）、応札結果・備考＝辞退、応札金額＝},{応札企業名＝ＳＫソリューション（株）、応札結果・備考＝辞退、応札金額＝},{応札企業名＝（株）カンサイ、応札結果・備考＝不着、応札金額＝}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2NzgyOA=="
"R22967463","その他東京都市町村/八王子市","東京都","フォーム（コンピュータ用連続紙）「特別徴収納入書（ＯＣＲ）」印刷【八王子市】",,,,,,"2023-12-13","株式会社コタニ 赤羽営業所","736000","","{応札企業名＝株式会社コタニ 赤羽営業所、応札結果・備考＝、応札金額＝736000},{応札企業名＝光ビジネスフォーム株式会社 多摩営業所、応札結果・備考＝、応札金額＝920000},{応札企業名＝株式会社ミユキ印刷、応札結果・備考＝、応札金額＝1223600}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2NzQ2Mw=="
"R22965395","福岡県","福岡県","遠賀川下流流域下水道事業砂ろ過器No.1外機械設備更新工事",,,,,,"2023-12-13","取り止め・中止","","178410100","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2NTM5NQ=="
"R22963080","その他愛知県市町村/豊橋市","愛知県","2312042320100602279ＯＫＩカラープリンタ用純正イメージドラム【豊橋市】",,,,,,"2023-12-13","株式会社ヤマダデンキ　豊橋営業所","42680","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MzA4MA=="
"R22963023","その他愛知県市町村/豊橋市","愛知県","2312042320100602280ＷＹＯα寒天培地等【豊橋市】",,,,,,"2023-12-13","株式会社ラボテック","40425","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MzAyMw=="
"R22963011","その他愛知県市町村/豊橋市","愛知県","2312042320100602369つなぎ　ＲＯＵＮＤＯＮＩ【豊橋市】",,,,,,"2023-12-13","株式会社牧野本店","125002","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MzAxMQ=="
"R22963003","その他愛知県市町村/豊橋市","愛知県","2312042320100602456ダストブロワーＥＣＯ　極細チューブタイプ【豊橋市】",,,,,,"2023-12-13","株式会社豊橋タイプ","1430","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MzAwMw=="
"R22962989","その他愛知県市町村/豊橋市","愛知県","2312042320100602329ＲＩＣＯＨ　ドラムユニット　Ｐ６０００　純正品【豊橋市】",,,,,,"2023-12-13","ミカワリコピー販売株式会社","9548","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2Mjk4OQ=="
"R22962923","その他愛知県市町村/岡崎市","愛知県","2311292320200601857ＯＡ機器（大判プリンター）【岡崎市】",,,,,,"2023-12-13","株式会社電波堂","504000","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MjkyMw=="
"R22962836","その他愛知県市町村/小牧市","愛知県","2312012321900602202Ｋｉｏｓｋ端末発券機用ロール紙（１０１０４８４１）【小牧市】",,,,,,"2023-12-13","有限会社富田文渓堂","125000","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MjgzNg=="
"R22961777","和歌山県","和歌山県","１２－１　雑品、運動用品、農林用品　ドアハンガー　JISONCASE　サイズ13cm×9cm×1cm 上部幅4cm 耐荷重20kg　黒　5個セット　8式",,,,,,"2023-12-13","株式会社季節風","11010","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTc3Nw=="
"R22961773","和歌山県","和歌山県","１２－１　電気製品、ＯＡ用品、文房具事務用品　アルミ額縁　ハクバ　ブラック　Ａ４　AMZFAPE-BK10A4 10枚セット　1式",,,,,,"2023-12-13","岡崎商事株式会社","8988","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTc3Mw=="
"R22961772","和歌山県","和歌山県","１２－１　電気製品、ＯＡ用品、文房具事務用品　３Ｄプリンター用フィラメント　Creality 1.75mm ブラック　10個",,,,,,"2023-12-13","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTc3Mg=="
"R22961771","和歌山県","和歌山県","１２－１　電気製品、ＯＡ用品、文房具事務用品　ガイドシステム　Retekess TT101送信機1台＋受信機5台セット　2式",,,,,,"2023-12-13","岡崎商事株式会社","47688","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTc3MQ=="
"R22961770","和歌山県","和歌山県","１２－１　電気製品、ＯＡ用品、文房具事務用品　ポータブル拡声器　サンワダイレクト　400-SP079　　2個",,,,,,"2023-12-13","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTc3MA=="
"R22961769","和歌山県","和歌山県","１２－１　電気製品、ＯＡ用品、文房具事務用品　スピーカーフォン　ＧＮジャパン　ＳＰＥＡＫ４１０　1個",,,,,,"2023-12-13","岡崎商事株式会社","11888","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTc2OQ=="
"R22961768","和歌山県","和歌山県","１２－１　電気製品、ＯＡ用品、文房具事務用品　防水デジタルカメラ　リコー　ＷＧ－８０　ＢＬＡＣＫ　1個",,,,,,"2023-12-13","岡崎商事株式会社","36888","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTc2OA=="
"R22961767","和歌山県","和歌山県","１２－１　自動車・船舶用品、理化学用品　Ｌｏｏｐａｍｐ　ＤＮＡ増幅試薬キット　栄研化学（株）製　製品コード：ＬＭＰ２０６　包装単位：１９２テスト分　1個",,,,,,"2023-12-13","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTc2Nw=="
"R22961765","和歌山県","和歌山県","１２－１　自動車・船舶用品、理化学用品　ＳＫＩＤ　ＰＯＷＥＲ　ＨＤ （スキッドステアローダ用タイヤ）　タイヤサイズ：１０－１６．５　８ＰＲ　チューブレス　ＢＫＴ社製　タイヤ組替及び廃タイヤ処分を含む　2本",,,,,,"2023-12-13","株式会社オザキタイヤ","70000","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTc2NQ=="
"R22961481","富山県市町村/射水市","富山県","南郷浄化センターＮｏ．１返送汚泥ポンプ取替修繕【射水市】",,,,,,"2023-12-13","株式会社ミヤシゲテクノ","2950000","3030000","{応札企業名＝株式会社ミヤシゲテクノ、応札結果・備考＝落札、応札金額＝2950000},{応札企業名＝株式会社柿本商会　富山支店、応札結果・備考＝、応札金額＝2980000},{応札企業名＝北陸藤吉工業株式会社、応札結果・備考＝、応札金額＝2990000},{応札企業名＝富士機設工業株式会社、応札結果・備考＝、応札金額＝2995000},{応札企業名＝菱越電機株式会社、応札結果・備考＝、応札金額＝3000000},{応札企業名＝水機工業株式会社、応札結果・備考＝、応札金額＝3000000},{応札企業名＝荏原商事株式会社　富山支店、応札結果・備考＝、応札金額＝3000000},{応札企業名＝株式会社アリタ、応札結果・備考＝、応札金額＝3000000},{応札企業名＝株式会社サンコー、応札結果・備考＝、応札金額＝3020000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTQ4MQ=="
"R22961121","広島県","広島県","令和５年度　治山施設機能強化事業　山腹工事　Ｎｏ．１０１",,,,,,"2023-12-13","株式会社後藤組","50450000","52018000","{応札企業名＝株式会社後藤組、応札結果・備考＝落札、応札金額＝50450000},{応札企業名＝橋神建設株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝藤原メセナ建設株式会社、応札結果・備考＝、応札金額＝51500000},{応札企業名＝株式会社上垣組、応札結果・備考＝辞退、応札金額＝},{応札企業名＝シンクコンストラクション株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝有限会社肥後谷建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝ラーフテクト株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社東豊建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝沖建設株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社舛田組、応札結果・備考＝辞退、応札金額＝},{応札企業名＝国土技建株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社明成、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社織田建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝有限会社日彰建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社島村建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社高屋建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社不撓建設、応札結果・備考＝辞退、応札金額＝},{応札企業名＝双合建設工業株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社山村興業、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社三輝、応札結果・備考＝、応札金額＝52018000},{応札企業名＝株式会社大建、応札結果・備考＝辞退、応札金額＝},{応札企業名＝平原建設株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社照栄、応札結果・備考＝、応札金額＝52018000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTEyMQ=="
"R22961119","広島県","広島県","令和５年度　復旧治山事業　渓間工事　Ｎｏ．５",,,,,,"2023-12-13","成風土木有限会社","35500000","40825000","{応札企業名＝成風土木有限会社、応札結果・備考＝落札、応札金額＝35500000},{応札企業名＝株式会社岡本組、応札結果・備考＝、応札金額＝37558000},{応札企業名＝有限会社桐山組、応札結果・備考＝、応札金額＝36790000},{応札企業名＝橋本工業有限会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社高宮建設、応札結果・備考＝辞退、応札金額＝}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MTExOQ=="
"R22960929","北九州市","福岡県","No.2低圧製品圧縮機用部品【北九州市】",,,,,,"2023-12-13","株式会社大田商会","1765000","","{応札企業名＝（株）大田商会、応札結果・備考＝落札、応札金額＝1765000},{応札企業名＝（株）インターパック、応札結果・備考＝、応札金額＝1817500},{応札企業名＝電協産業（株）、応札結果・備考＝、応札金額＝2970000},{応札企業名＝エスペックアシスト（株）、応札結果・備考＝失格（入札不参加）、応札金額＝},{応札企業名＝神鋼物産（株）、応札結果・備考＝辞退、応札金額＝}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MDkyOQ=="
"R22960441","東京都","東京都","ＴＯＥＩスマート定期券予約サービス運用業務委託",,,,,,"2023-12-13","東芝インフラシステムズ株式会社","9955000","","{応札企業名＝東芝インフラシステムズ株式会社、応札結果・備考＝、応札金額＝9050000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MDQ0MQ=="
"R22960408","東京都","東京都","令和６年度SusHi Tech Tokyo2024シティ・リーダーズプログラム(首長級会議)の実施に伴う運営業務委託",,,,,,"2023-12-13","近畿日本ツーリスト株式会社","21785445","","{応札企業名＝近畿日本ツーリスト株式会社、応札結果・備考＝、応札金額＝19804950},{応札企業名＝株式会社コンベンションリンケージ、応札結果・備考＝、応札金額＝29780300},{応札企業名＝株式会社ＪＴＢコミュニケーションデザイン、応札結果・備考＝、応札金額＝43934616},{応札企業名＝株式会社電通ライブ、応札結果・備考＝、応札金額＝57000000},{応札企業名＝株式会社日本旅行、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社コングレ、応札結果・備考＝辞退、応札金額＝}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MDQwOA=="
"R22960250","川崎市","神奈川県","保育所１９０　トナーカートリッジ（ＯＫＩ）　一括②【川崎市】",,,,,,"2023-12-13","サウンドハウス","2495890","","{応札企業名＝サウンドハウス、応札結果・備考＝第1回:落札、応札金額＝2495890},{応札企業名＝有限会社　フジヤ文具、応札結果・備考＝、応札金額＝2726600},{応札企業名＝いづみ文具　株式会社、応札結果・備考＝、応札金額＝2666366},{応札企業名＝有限会社　シオヤ文具、応札結果・備考＝、応札金額＝2507320},{応札企業名＝アルマーク　株式会社、応札結果・備考＝、応札金額＝2642480},{応札企業名＝株式会社　井出事務機、応札結果・備考＝、応札金額＝2637900},{応札企業名＝有限会社　彩文堂、応札結果・備考＝、応札金額＝2735750},{応札企業名＝株式会社　文周堂、応札結果・備考＝、応札金額＝2697860},{応札企業名＝三将堂、応札結果・備考＝、応札金額＝2749800},{応札企業名＝株式会社　石井、応札結果・備考＝、応札金額＝3228156}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MDI1MA=="
"R22960249","川崎市","神奈川県","試薬器材等検査用消耗品（ウイルス）ＨｉｇｈＦｉｄｅｌｉｔｙ　ＯｎｅＳｔｅｐＲＴ－ＰＣＲ　Ｋｉｔ【川崎市】",,,,,,"2023-12-13","葵薬品産業　株式会社","116000","","{応札企業名＝葵薬品産業　株式会社、応札結果・備考＝第1回:決定、応札金額＝116000},{応札企業名＝株式会社　泰山堂、応札結果・備考＝、応札金額＝118000},{応札企業名＝谷口薬品　株式会社、応札結果・備考＝第1回:辞退、応札金額＝},{応札企業名＝日本ダスト　株式会社、応札結果・備考＝第1回:不参、応札金額＝},{応札企業名＝株式会社　オスモ、応札結果・備考＝第1回:不参、応札金額＝},{応札企業名＝株式会社　エーアールエー、応札結果・備考＝第1回:不参、応札金額＝}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk2MDI0OQ=="
"R22957319","岐阜県","岐阜県","ＣＯ２濃度測定器",,,,,,"2023-12-13","株式会社熊樹堂","133705","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk1NzMxOQ=="
"R22957291","岐阜県","岐阜県","【トナー・インク】ＯＫＩ：Ｃ８１１用トナーカートリッジの購入について",,,,,,"2023-12-13","株式会社高修","74547","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk1NzI5MQ=="
"R22957271","岐阜県","岐阜県","ＷＯＯＤコレクション（モクコレ）２０２４出展品輸送用務について",,,,,,"2023-12-13","佐川急便株式会社　中京支店","133100","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk1NzI3MQ=="
"R22955517","秋田県","秋田県","平鹿・ＲＩＳＯインク（横手高・全日制）231214980400",,,,,,"2023-12-13","株式会社　渡敬","179520","","{応札企業名＝株式会社　渡敬、応札結果・備考＝決定、応札金額＝179520}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk1NTUxNw=="
"N17756957","国立大学法人/千葉大学","千葉県","株式会社島津製作所製　外科用X線テレビシステム　OPESCOPE ACTENO　一式","医療用機器・システム、医療・介護用品及び業務","競争・公募","A,B,C","2023-12-12","2023-12-22",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc1Njk1Nw=="
"N17723323","和歌山県","和歌山県","12-2②知事契約：OA用品","文房具事務用品・図書,事務機器及び業務,情報処理機器・ソフト及び業務","競争・公募","","2023-12-12","2023-12-14",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzcyMzMyMw=="
"N17723322","和歌山県","和歌山県","12-2①本部長契約：OA用品","事務機器及び業務,情報処理機器・ソフト及び業務","競争・公募","","2023-12-12","2023-12-14",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzcyMzMyMg=="
